NOMBRE DE LA CLINICA O CESFAM,CORREO 1 CLINICA,CORREO 2 CLINICA,OBSERVACIONES
CLINICA MUNICIPAL,CLINICADENTALMUNICIPALTALCA@GMAIL.COM,CONTACTO@SONREIMOSJUNTOATI.CL,SIN OBSERVACIONES
EL PEHUEN,ELPEHUENTALCA.RX@GMAIL.COM,ELPEHUENUNOSUR.RX@GMAIL.COM,SIN OBSERVACIONES
ODONTOESTETICA,ODONTOESTETICATALCA@GMAIL.COM,ODONTOESTETICASANJAVIER@GMAIL.COM,SIN OBSERVACIONES
ODONTOESTETICA,ODONTOESTETICATALCA@GMAIL.COM,ODONTOESTETICASANJAVIER@GMAIL.COM,SIN OBSERVACIONES
ZAR,ZARORTODONCIA@HOTMAIL.COM,ODONTOLOGICOSINTEGRALES@HOTMAIL.COM,SIN OBSERVACIONES
MY CLINIC,RAYOS@MYCLINIC.CL,RAYOSMYCLINIC@GMAIL.COM,SIN OBSERVACIONES
CUMBRES DENTAL,CUMBRESDENTAL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CIRUDENT,RXCIRUDENT@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
LAS CRUCES,RX@CLINICALASCRUCES.CL,SIN CORREO,SIN OBSERVACIONES
CIMA ODONTOLOGIA,CIMA.ODONTOINTEGRAL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
OASIS,OASISTALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA MEDDENT,CLINICADENTALMEDDENT@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
IOT,RX.IO.TALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA VISSAE,AGENDA.CLINICAVISSAE@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CUMBRES DEL MAULE,CLINICADENTALCUMBRESDELMAULE@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
DENTAL APEX,CLINICADENTALAPEX@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
VIAMEDICAL,CONTACTO@VIAMEDICAL.CL,SIN CORREO,SIN OBSERVACIONES
CLINICA PUCHI,RAYOS@CLINICAPUCHI.CL,SIN CORREO,SIN OBSERVACIONES
MIADENT,MIAORTODONCIAYESTETICA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
EDEN SPA,RXEDENSPADENTAL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
DENTAL 11 ORIENTE,DENTAL11ORIENTE@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
LAS RASTRAS,ODONTOLOGIALASRASTRAS@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
FISIOSALUD,DENTAL@FISIOSALUD.CL,SIN CORREO,SIN OBSERVACIONES
UNO SALUD,CONTACTOTALCA2@UNOSALUD.COM,SIN CORREO,SIN OBSERVACIONES
CERFUS,CONTACTO@CERFUS.CL,SIN CORREO,SIN OBSERVACIONES
SANTA MARTA,STAMARTA2020@HOTMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CYGNUS,CYGNUS.CENTRO.ODONTOLOGICO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CREOSALUD,CONTACTO@CREOSALUD.COM,SIN CORREO,SIN OBSERVACIONES
ODONTOIMAGEN,RX@ODONTOIMAGEN.CL,SIN CORREO,SIN OBSERVACIONES
SONRISA TALQUINA,CO.SONRISATALQUINA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA DENTAL BOREAL,CLINICADENTALBOREAL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA PAZ,CLINICAODONTOLOGICAPAZ@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA NOSTRA,CLINICANOSTRA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA DENTAL NUEVO HORIZONTE,NHORIZONTE.RX@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
ALTA SONRISA,RXALTASONRISATALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
DENTAL PLUS,DENTALPLUSTALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
RIE TALCA,CLINICADENTALRIETALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
VITALDENT,RXVITALDENT@OUTLOOK.COM,SIN CORREO,SIN OBSERVACIONES
ORTHOVITAL,ORTHOVITAL1@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
AKUDENT,CLINICA.AKUDENT@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
ALIWEN,CLINICAALIWEN@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA DENTAL CERO,CLINICADENTALCEROTALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
PRISMA TALCA,PRISMA.TALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
LUMINA,RAYOS.LUMINA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CASTRO CONTARDO,CLINICACASTROCONTARDO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
LYM,LYMCENTROODONTOLOGICO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
ODONTOESTUDIO,RX.ODONTOESTUDIOTALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
NOVA ERA,NOVAERAODONTOLOGIA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
SANIDENT,SANIDENTRCCSPA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA VITASONRISA,CLINICAVITASONRISA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
DENTAL SANTABLANCA ,RXSANTABLANCATALCA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CLINICA NASH,MARIAANGELINANASH@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM LA FLORIDA,RXCESFAMLAFLORIDA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM CARLOS TRUPP,RXCTRUPP@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CONSULTORIO PELARCO,DENTAL@SALUDPELARCO.CL,SIN CORREO,SIN OBSERVACIONES
CONSULTORIO RIO CLARO,RXRIOCLARO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CONSULTORIO SAN RAFAEL,RXDENTALSANRAFAEL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CONSULTORIO ASTABURUAGA,DENTALASTABURUAGA@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM JULIO CONTARDO,RXJULIOCONTARDO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM BICENTENARIO,RX.BICENTENARIO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM MAULE,DENTALCSMAULE@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM FAUSTINO GONZALEZ,CESFAMFAUSTINO.DENTAL@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM LAS AMERICAS,RXDENTALAMERICAS@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
CESFAM MAGISTERIO,DENTALMAGISTERIO@GMAIL.COM,SIN CORREO,SIN OBSERVACIONES
